"city, state_name",utm easting,utm northing,zone number,zone letter,population,density
"Baton Rouge, Louisiana",679472.5156556846,3369225.4625609647,15,R,570308.0,983
"Akron, Ohio",456160.3080679484,4547746.884369629,17,T,565208.0,1231
"New Haven, Connecticut",673725.7278017584,4575381.725561432,18,T,564830.0,2690
"Columbia, South Carolina",508889.1775899151,3766329.185204506,17,S,560041.0,373
"Mesa, Arizona",433232.3254683877,3696051.192534896,12,S,518012,1448
"Palm Bay, Florida",533178.0621598068,3092263.2874503382,17,R,507002.0,456
"Provo, Utah",445081.100563458,4455228.030046072,12,T,500617.0,1080
"Worcester, Massachusetts",268434.88561868086,4683628.476682021,19,T,498328.0,1916
"Murrieta, California",482282.86279146327,3714718.158134162,11,S,496046.0,1335
"Greenville, South Carolina",375215.722485039,3855627.6859358298,17,S,484465.0,920
"Wichita, Kansas",645990.604855513,4172666.324429739,14,S,482249.0,931
"Toledo, Ohio",285018.1186467687,4615682.040568852,17,T,482111.0,1308
"Staten Island, New York",571968.771808715,4492859.654037792,18,T,476143,3156
"Des Moines, Iowa",449102.7309616493,4602493.099703978,15,T,473957.0,938
"Long Beach, California",391926.62200113246,3740382.6260000146,11,S,462628,3523
"Port St. Lucie, Florida",560539.7815577233,3017552.252419758,17,R,461152.0,653
"Denton, Texas",673160.8613150857,3676949.0186951896,14,S,457177.0,567
"Madison, Wisconsin",305199.97019241244,4772767.052641271,16,T,447245.0,1263
"Reno, Nevada",255261.2093400937,4381655.52473502,11,S,445020.0,907
"Harrisburg, Pennsylvania",339799.47229877167,4460005.742954701,18,T,442289.0,2343
"Little Rock, Arkansas",558815.5175445717,3842801.6644409597,15,S,439815.0,634
"Oakland, California",568985.1657450241,4182837.82441985,10,S,433031,2991
"Durham, North Carolina",689050.9357533744,3983696.5375401373,17,S,424700.0,959
"Winston-Salem, North Carolina",566509.2472793235,3995614.373782642,17,S,422269.0,721
"Bonita Springs, Florida",421566.01016514987,2915337.3651407366,17,R,421291.0,600
"Indio, California",570902.9086385124,3732992.601428198,11,S,417059.0,1066
"Palm Coast, Florida",476164.9857153996,3267751.9891722687,17,R,417007.0,364
"Chattanooga, Tennessee",659680.5861484387,3881731.206135694,16,S,415501.0,493
"Spokane, Washington",467492.92601282516,5279391.654338615,11,T,412275.0,1247
"Syracuse, New York",406832.1738430468,4765991.447171635,18,T,404223.0,2195
"Lancaster, Pennsylvania",388996.5358896744,4433240.915623731,18,T,401524.0,3166
"Arlington, Texas",675758.6023023993,3619561.5199848227,14,S,398854,1607
"Stockton, California",648351.0472190345,4204553.444711733,10,S,397264.0,1941
"Poughkeepsie, New York",589786.4218320614,4616464.611835125,18,T,394760.0,2290
"Augusta, Georgia",400381.347671831,3692208.621529363,17,S,390809.0,252
"Boise, Idaho",562049.8211919431,4827812.122878635,11,T,389280.0,1056
"Oxnard, California",298989.7611998656,3786073.0038281297,11,S,387647.0,3040
"Scranton, Pennsylvania",444423.9109685904,4583864.157416643,18,T,384250.0,1169
"Modesto, California",676217.8390457273,4167460.982347321,10,S,383134.0,1933
"Kissimmee, Florida",459173.8519192063,3130971.2534702015,17,R,382720.0,1349
"Aurora, Colorado",523376.2172941896,4395462.123740462,13,S,379289,949
"Youngstown, Ohio",529702.0485144389,4549840.666237409,17,T,378732.0,744
"Fayetteville, Arkansas",395003.62703497754,3992485.8083237703,15,S,351246.0,625
"Anaheim, California",420689.27267816436,3744635.2414071867,11,S,350365,2688
"Pensacola, Florida",481891.2291539993,3367856.856014108,16,R,346921.0,903
"Victorville, California",467549.03883476276,3820725.584956864,11,S,346789.0,641
"Lancaster, California",392350.8773614778,3839682.7266278206,11,S,343304.0,645
"Greensboro, North Carolina",605603.2357486424,3995188.9311956144,17,S,343090.0,887
"Corpus Christi, Texas",660139.3844542868,3067906.9736416773,14,R,342464.0,789
"Fort Wayne, Indiana",655912.1967281103,4550252.821289865,16,T,334122.0,943
"Santa Ana, California",418306.6899613,3733300.5226266948,11,S,332318,4689
"Flint, Michigan",280641.16799593426,4766942.06957942,17,T,332190.0,1103
"San Juan, Puerto Rico",810249.464863087,2037361.773109491,19,Q,331165,3234
"Fayetteville, North Carolina",684370.3002701863,3884295.7060681744,17,S,327435.0,552
"Jackson, Mississippi",762440.4950995375,3578910.654974075,15,S,325350.0,558
"Santa Rosa, California",525594.3154096231,4255320.070702209,10,S,324634.0,1605
"Lansing, Michigan",699796.387071318,4731964.6301603215,16,T,324286.0,1164
"Ann Arbor, Michigan",274778.55490204715,4683977.871346731,17,T,322267.0,1659
"Henderson, Nevada",676811.4566952074,3987204.0007508234,11,S,320189,1165
"Huntsville, Alabama",532860.6914874937,3839700.531128779,16,S,319249.0,361
"Lexington, Kentucky",723008.8860873248,4213557.176138559,16,S,317110.0,439
"Mobile, Alabama",393081.47460801183,3394481.793633632,16,R,315502.0,522
"Fort Collins, Colorado",494445.40603389934,4488562.613378118,13,T,312666.0,1149
"Asheville, North Carolina",359216.62163277087,3937411.697359421,17,S,312507.0,786
"Santa Clarita, California",362484.7459754955,3809464.2560967887,11,S,312446.0,1162
"St. Paul, Minnesota",491795.7556398103,4977145.820343709,15,T,308096,2288
"Antioch, California",605757.7368015975,4204157.896609544,10,S,302419.0,1466
"Lakeland, Florida",406196.92912967585,3103729.0008782977,17,R,302284.0,654
"Trenton, New Jersey",520070.5293698339,4452601.793977249,18,T,290716.0,4238
"Lincoln, Nebraska",695786.8386266923,4520147.251158252,14,T,289490.0,1160
"Springfield, Missouri",474120.7160002402,4116466.8657916756,15,S,288090.0,786
"Plano, Texas",710209.9752892086,3659105.1573428786,14,S,287677,1549
"Irvine, California",428271.23780636996,3726634.0875455867,11,S,287401,1691
"Davenport, Iowa",699710.5189734611,4603284.116696436,15,T,285362.0,617
"Rockford, Illinois",329749.3931477108,4680673.853974748,16,T,282762.0,873
"Newark, New Jersey",569883.3550754779,4508503.937998261,18,T,282011,4509
"South Bend, Indiana",560795.4046489368,4614139.281119338,16,T,280498.0,938
"Shreveport, Louisiana",425232.53362414107,3592324.5040418655,15,S,280062.0,672
"Round Lake Beach, Illinois",410998.6291669826,4692423.556713242,16,T,279381.0,2073
"Savannah, Georgia",483154.2957404279,3543564.2817524634,17,S,276295.0,536
"Myrtle Beach, South Carolina",696059.9064579189,3731967.2679168237,17,S,275579.0,568
"Chula Vista, California",498639.8163052552,3610059.3948058253,11,S,274492,2134
"Eugene, Oregon",490604.47405846877,4878132.676614757,10,T,273439.0,1510
"Canton, Ohio",468986.0396084121,4517453.13073829,17,T,269418.0,1040
"Lubbock, Texas",231924.5927068572,3717762.643089491,14,S,267648.0,741
"Reading, Pennsylvania",421290.32617929106,4465907.059793862,18,T,267155.0,3466
"Winter Haven, Florida",431013.6316920962,3098707.9237224036,17,R,267069.0,538
"Salem, Oregon",498058.5519556554,4974408.137244835,10,T,266804.0,1382
"St. Petersburg, Florida",335948.53473371593,3075395.1253454504,17,R,265351,1656
"Lafayette, Louisiana",593139.0009803592,3342273.8949296987,15,R,264357.0,877
"Laredo, Texas",451875.418557986,3048878.835120166,14,R,262079.0,958
"Jersey City, New Jersey",578701.6178650798,4507659.72113854,18,T,262075,6863
"Concord, North Carolina",533001.4732108215,3916720.5733560366,17,S,261801.0,585
"Columbus, Georgia",699420.8109507177,3598953.7419438083,16,S,261445.0,349
"Chandler, Arizona",420700.48497496184,3682940.134843752,12,S,261165,1548
"McKinney, Texas",717475.9648952021,3676051.0466179308,14,S,258277.0,1148
"Scottsdale, Arizona",419817.07114456006,3727809.985297089,12,S,258069,541
"Killeen, Texas",621189.2268349793,3438651.758465626,14,R,258009.0,1073
"Tallahassee, Florida",763812.4774296912,3372423.3521373575,16,R,257601.0,747
"Peoria, Illinois",279215.4334018404,4514517.87777883,16,T,256286.0,888
"Wilmington, North Carolina",234044.81172793347,3789209.3099965868,18,S,255616.0,929
"Montgomery, Alabama",569011.9703323421,3579168.666367004,16,S,254634.0,479
"Gilbert, Arizona",430527.87892981945,3685913.997008842,12,S,254114,1432
"Glendale, Arizona",385749.4867448968,3716167.959010995,12,S,252381,1582
"North Las Vegas, Nevada",671516.2906713607,4017584.8811191497,11,S,251974,992
"Anchorage, Alaska",386482.44020632765,6781414.6627034815,6,V,247949.0,65
"Chesapeake, Virginia",383627.5540423907,4059920.759243179,18,S,244835,279
"Barnstable Town, Massachusetts",386798.9032600166,4614275.281189511,19,T,242847.0,286
"Norfolk, Virginia",387822.00980545033,4083908.997970211,18,S,242742,1759
"Fremont, California",589667.7596797203,4153765.0537401903,10,S,241110,1201
"Kennewick, Washington",332326.35478196846,5118320.3851765515,11,T,240735.0,1186
"Garland, Texas",721599.3487835098,3643800.068016342,14,S,239928,1623
"Irving, Texas",689934.2313484706,3637415.186471001,14,S,239798,1380
"Visalia, California",291135.5726849813,4022798.375587003,11,S,237386.0,1370
"Atlantic City, New Jersey",547137.4710958842,4359056.516270187,18,S,237054.0,1354
"Nashua, New Hampshire",296133.3804263385,4735962.551005887,19,T,233917.0,1118
"Paradise, Nevada",667754.6659965976,3994505.9188684174,11,S,233689,1930
"Hialeah, Florida",569671.7303073003,2861427.478815565,17,R,233339,4174
"York, Pennsylvania",352120.4777127744,4425319.169192074,18,S,233184.0,3204
"Arlington, Virginia",317742.81814285566,4305402.906676309,18,S,231803,3442
"Evansville, Indiana",453099.7042751209,4204629.240218068,16,S,230427.0,962
"Avondale, Arizona",376891.3729722853,3694840.655900272,12,S,227289.0,750
"Brownsville, Texas",654484.0820202131,2876374.610402646,14,R,227239.0,533
"Gulfport, Mississippi",301163.6967526375,3367932.837367081,16,R,220987.0,497
"Appleton, Wisconsin",389150.994127116,4903677.541169537,16,T,220570.0,1156
"Bremerton, Washington",521657.2459640405,5265615.417248504,10,T,218400.0,561
"Hickory, North Carolina",470794.38566279225,3955436.641388568,17,S,218323.0,536
"Tacoma, Washington",541389.3742967038,5232324.548204406,10,T,217827,1690
"San Bernardino, California",472839.54111509526,3777906.7634833306,11,S,215784,1341
"College Station, Texas",759297.5845441635,3386747.8633717815,14,R,215243.0,890
"Kalamazoo, Michigan",616418.4720777019,4681263.736120653,16,T,215193.0,1192
"Thousand Oaks, California",327179.6014133345,3784968.2140794685,11,S,215029.0,885
"Roanoke, Virginia",592375.1952874875,4126276.8093837867,17,S,214674.0,900
"Fontana, California",457577.2971723549,3772984.501276099,11,S,214547,1923
"Moreno Valley, California",481098.13938803965,3753792.47707366,11,S,213055,1604
"North Port, Florida",381245.40742602793,2993390.6457222872,17,R,209070.0,274
"Fargo, North Dakota",665448.41344131,5192472.174563178,14,T,208675.0,967
"Green Bay, Wisconsin",421349.1269236782,4929551.567855201,16,T,207557.0,887
"Amarillo, Texas",242248.34439593472,3898761.9720968264,14,S,205603.0,756
"Portland, Maine",397507.319669981,4836817.726575861,19,T,203969.0,1185
"Santa Barbara, California",250029.65999470226,3813025.2364660236,11,S,202401.0,1808
"Gainesville, Florida",369780.6614958693,3284129.2992810314,17,R,202335.0,820
"Olympia, Washington",507908.102474857,5209803.354802414,10,T,200915.0,1119
"Frisco, Texas",703168.4821780282,3670638.9383290713,14,S,200490,1136
"Yonkers, New York",595331.1186033632,4533446.724253381,18,T,200370,4295
"Norwich, Connecticut",742854.4900378506,4603854.5912997695,18,T,200289.0,533
"Spring Valley, Nevada",656462.7923127406,3996294.2994736107,11,S,199722,2318
"Glendale, California",385103.21867476474,3783016.3097492177,11,S,199303,2525
"Huntington Beach, California",407090.9736672568,3728900.8577382998,11,S,199223,2848
"Deltona, Florida",479166.6051430595,3197479.2840871555,17,R,198361.0,960
"Aurora, Illinois",392761.5757700248,4624344.866056552,16,T,197757,1696
"Tempe, Arizona",413336.6942483586,3694700.9122549114,12,S,195805,1891
"Overland Park, Kansas",353683.11516087665,4305589.478311841,15,S,195494,1003
"Grand Prairie, Texas",685544.3824798686,3618341.8030036734,14,S,194543,1039
"Sunrise Manor, Nevada",675452.2453673745,4005510.753486841,11,S,192934,2231
"Waco, Texas",671969.3038613378,3493067.998022908,14,R,192315.0,605
"Salinas, California",622244.2993851572,4061178.677359049,10,S,190972.0,2562
"Waterbury, Connecticut",663769.3514985081,4602598.989712409,18,T,189614.0,1456
"Clarksville, Tennessee",469399.4407089698,4047171.752515665,16,S,188746.0,618
"Cedar Rapids, Iowa",609526.7753360398,4646901.664697011,15,T,188038.0,720
"Sioux Falls, South Dakota",683237.271219365,4823249.309653191,14,T,187239.0,907
"Huntington, West Virginia",374766.427672702,4252380.8939906405,17,S,186034.0,1073
"Ontario, California",444025.6834152372,3766679.3066133526,11,S,185010,1429
"Hagerstown, Maryland",266444.9002281757,4391353.483273315,18,S,184755.0,1272
"Erie, Pennsylvania",576606.9237338309,4663160.023445832,17,T,184484.0,1926
"Vancouver, Washington",531432.252648584,5053751.637916542,10,T,184463,1461
"Nampa, Idaho",535271.6074864791,4825818.569505873,11,T,184428.0,1167
"Spartanburg, South Carolina",415469.250662648,3867190.7809172627,17,S,182701.0,730
"Gastonia, North Carolina",483142.5236181661,3900716.878678415,17,S,182581.0,577
"Fort Lauderdale, Florida",585325.8590660192,2891601.0473222155,17,R,182437,2036
"Lorain, Ohio",401089.4041149903,4588379.469213903,17,T,180279.0,1041
"Murfreesboro, Tennessee",553105.0767923801,3967382.3586830604,16,S,179951.0,919
"High Point, North Carolina",590698.5154034701,3983384.9845153564,17,S,179913.0,777
"Newport News, Virginia",365071.6901849614,4107610.360591728,18,S,179225,1002
"Rancho Cucamonga, California",447752.04441626935,3776138.626251062,11,S,177603,1709
"Hemet, California",500287.16718810704,3732674.154659638,11,S,177253.0,1125
"Santa Cruz, California",585922.3589768925,4092967.1299282154,10,S,176428.0,1957
"Danbury, Connecticut",627809.4889545472,4584467.989615297,18,T,176030.0,779
"Peoria, Arizona",379743.242734718,3739009.1609985237,12,S,175961,386
"Oceanside, California",471273.06680481124,3676240.004902631,11,S,175742,1644
"Elk Grove, California",641062.1077394601,4253208.835444108,10,S,174775,1605
"Pembroke Pines, Florida",566225.133812409,2877269.104472549,17,R,173591,2051
"Vallejo, California",566991.8378888771,4218661.770968077,10,S,173256.0,1524
"Garden Grove, California",411105.9848989891,3738033.2330999817,11,S,171644,3690
"Medford, Oregon",512052.04165467806,4687226.621630693,10,T,170876.0,1243
"Cary, North Carolina",697114.063156275,3961963.6172708394,17,S,170282,1119
"Marysville, Washington",562852.4211095835,5325636.416684621,10,U,170009.0,1308
"Corona, California",447747.9342638171,3746954.159719603,11,S,169868,1640
"Ocala, Florida",388071.58094289276,3228254.946610311,17,R,169383.0,496
"Fredericksburg, Virginia",282504.68955257477,4241939.51297973,18,S,168909.0,1072
"Gainesville, Georgia",239499.8292780515,3797971.0153802754,17,S,167371.0,506
"Bayamón, Puerto Rico",799729.5575090739,2034491.3382107066,19,Q,165383,2366
"Enterprise, Nevada",660329.8780344799,3987231.5113424524,11,S,164314,1240
"Manchester, New Hampshire",300683.07073402463,4762026.972551303,19,T,162877.0,1315
"Champaign, Illinois",391474.5109627268,4441231.795507876,16,T,159443.0,1503
"Alexandria, Virginia",318891.6950328199,4298702.908266455,18,S,159428,4121
"Hayward, California",581422.5914270518,4165475.0750911506,10,S,159203,1349
"Springfield, Illinois",272702.61184194556,4405709.730498267,16,S,158509.0,723
"Lakewood, Colorado",489986.1600346855,4394212.272361961,13,S,157935,1416
"Lafayette, Indiana",511931.4305159486,4472053.334445886,16,T,157820.0,942
"Frederick, Maryland",292228.7036647196,4367676.618580609,18,S,156787.0,1172
"Lake Charles, Louisiana",479575.1889474612,3341099.3102922337,15,R,156181.0,674
"Odessa, Texas",751552.9534688531,3530563.231152743,13,R,155998.0,1052
"Tuscaloosa, Alabama",450928.3391345419,3677441.0044133165,16,S,155499.0,631
"Warner Robins, Georgia",251019.02655407652,3609718.418092846,17,S,155140.0,805
"Palmdale, California",398605.4526052175,3828620.5880953786,11,S,155079,564
"Hollywood, Florida",583255.7003884874,2879205.0207284517,17,R,154817,2192
"Midland, Texas",772603.5880933213,3546838.667799855,13,S,154793.0,758
"Leesburg, Florida",412180.2068258549,3182359.4263942055,17,R,154574.0,249
"Port Arthur, Texas",410519.63281648315,3303122.810669857,15,R,154468.0,272
"Muskegon, Michigan",560393.1553559838,4786413.877555281,16,T,153565.0,998
"Macon, Georgia",247432.72076447937,3633058.453834988,17,S,153159,237
"Kansas City, Kansas",349215.916127955,4331919.073852659,15,S,152960,473
"Sunnyvale, California",586261.907633497,4137873.117366896,10,S,152703,2676
"Pomona, California",429623.07555683615,3768904.678470687,11,S,151691,2548
"Escondido, California",493265.6433919441,3666222.279577779,11,S,151625,1568
"Pasadena, Texas",291915.3454615668,3282855.564484515,15,R,151227,1339
"New Bedford, Massachusetts",338268.89095760876,4614927.810316847,19,T,149910.0,1840
"Fairfield, California",584653.7616336199,4235017.081774698,10,S,148683.0,1097
"Naperville, Illinois",403079.218649359,4622487.423605864,16,T,148449,1476
"Bellevue, Washington",563637.3983204929,5271645.996173582,10,T,148164,1709
"Binghamton, New York",424813.28575082467,4661434.667128482,18,T,148145.0,1635
"Elkhart, Indiana",586312.5007500416,4616055.497177183,16,T,147567.0,734
"Topeka, Kansas",266687.6698328298,4324073.979447003,15,S,147458.0,787
"Joliet, Illinois",404053.27546662005,4597000.74441874,16,T,147344,886
"Beaumont, Texas",389648.20355203724,3328745.8483589482,15,R,146091.0,547
"Paterson, New Jersey",570534.543205794,4529625.69945131,18,T,145233,6665
"Merced, California",723533.157897805,4131768.5200684136,10,S,145149.0,1390
"Pueblo, Colorado",534009.8954993726,4235899.721779317,13,S,143932.0,789
"Tyler, Texas",282897.9138823196,3578065.5055949595,15,S,143796.0,718
"Torrance, California",375852.9381276758,3744626.439262502,11,S,143592,2701
"Metairie, Louisiana",772237.0865034526,3321884.1104081455,15,R,143481,2381
"Yuma, Arizona",730040.2402109859,3609507.7216922045,11,S,142847.0,313
"Surprise, Arizona",365367.56510624674,3727622.3534862343,12,S,141664,506
"Columbia, Missouri",558440.6492622558,4311200.12822283,15,S,141645.0,725
"Athens, Georgia",281087.52563096414,3759229.058399248,17,S,141532.0,421
"Roseville, California",645982.6430657064,4292627.767559992,10,S,141500,1239
"Thornton, Colorado",504802.8298010407,4418846.277749957,13,S,141464,1521
"Miramar, Florida",566555.351701173,2873339.1176910596,17,R,141191,1889
"Pasadena, California",395010.49180301663,3780449.4334397484,11,S,141029,2371
"Mesquite, Texas",725864.763251757,3627508.700525372,14,S,140937,1151
"Santa Maria, California",733528.0112382988,3868642.2723260866,10,S,140545.0,1815
"Olathe, Kansas",342155.89532450703,4305389.118949747,15,S,140545,880
"Houma, Louisiana",722226.96219017,3274433.352830558,15,R,140469.0,874
"Carolina, Puerto Rico",185228.27185189037,2037623.888586595,20,Q,140072,2611
"Carrollton, Texas",696224.9601717754,3652026.058707463,14,S,139248,1466
"Grand Junction, Colorado",710404.8584455008,4329314.984328196,12,S,139143.0,621
"Charleston, West Virginia",444749.1539763529,4244661.029340422,17,S,138706.0,570
"Orange, California",423933.5140439414,3740705.5681489604,11,S,138669,2086
"Fullerton, California",414192.81361232087,3749692.7292808243,11,S,138632,2386
"Greeley, Colorado",519462.4380837543,4473856.174827113,13,T,137810.0,858
"Las Cruces, New Mexico",331590.30503320333,3578033.077062684,13,S,136254.0,519
"Panama City, Florida",634724.0301175966,3341719.712306619,16,R,136133.0,382
"Harlingen, Texas",630135.7695126344,2897566.5832181755,14,R,136037.0,626
"West Valley City, Utah",414531.9006452878,4504714.822921519,12,T,135248,1472
"Hampton, Virginia",378810.0251827354,4101853.528656542,18,S,134510,1009
"Warren, Michigan",333428.6358762537,4706551.015598579,17,T,133943,1505
"Mauldin, South Carolina",381013.91177821736,3849960.178010014,17,S,133872.0,899
"Bloomington, Illinois",332983.4119833687,4482421.935653945,16,T,133846.0,1100
"Coral Springs, Florida",573978.3618387935,2905819.0519804903,17,R,133759,2258
"Round Rock, Texas",627983.709355754,3377763.100158906,14,R,133372,1421
"Yakima, Washington",687702.2953124483,5162776.320908603,10,T,133191.0,1300
"Sterling Heights, Michigan",333373.9042721703,4716274.370286226,17,T,132438,1403
"Kent, Washington",559404.2168068601,5248660.710246417,10,T,132319,1513
"Burlington, North Carolina",637894.31623042,3993441.1374308215,17,S,131043.0,707
"Bellingham, Washington",539051.3386310735,5400279.2024807455,10,U,130641.0,1287
"Santa Clara, California",591384.4470038248,4135808.2820299855,10,S,130365,2761
"Racine, Wisconsin",433400.4032443393,4730864.56395163,16,T,130142.0,1915
"Greenville, North Carolina",284676.2677907506,3941696.5301094083,18,S,130118.0,1012
"Stamford, Connecticut",621061.0688062222,4551248.075584055,18,T,129638,1330
"Elizabeth, New Jersey",568364.1830991092,4501962.113886842,18,T,129216,4049
"Johnson City, Tennessee",376130.38087211887,4022611.3170921896,17,S,127571.0,599
"Lynchburg, Virginia",660125.8924251805,4140816.182006665,17,S,126814.0,647
"Simi Valley, California",338980.17625763675,3793067.435452625,11,S,126589.0,1167
"Fort Smith, Arkansas",375560.2949951419,3912640.7532127257,15,S,125354.0,536
"Kenosha, Wisconsin",428080.37762271636,4715259.157760472,16,T,124972.0,1378
"South Lyon, Michigan",281905.08251434285,4704416.513105306,17,T,124694.0,1219
"Boulder, Colorado",478471.5602074389,4430551.365182892,13,T,124345.0,1551
"Pearland, Texas",275080.43292025,3272113.831841565,15,R,122460,981
"Berkeley, California",563675.7547260936,4191893.5803920813,10,S,121363,4473
