"city, state_name",x,y,population,density
"Worcester, Massachusetts",-7993618.862934309,5201585.550962047,498328.0,1916
"Murrieta, California",-13045631.313605445,3971475.8510555783,496046.0,1335
"Greenville, South Carolina",-9168796.463340739,4141521.5361843347,484465.0,920
"Wichita, Kansas",-10836306.77567858,4535669.027062023,482249.0,931
"Toledo, Ohio",-9304327.94338155,5110765.50043553,482111.0,1308
"Staten Island, New York",-8254295.714524918,4951086.103327219,476143,3156
"Des Moines, Iowa",-10420673.192903737,5097155.576629831,473957.0,938
"Long Beach, California",-13154345.928314157,4001723.90052696,462628,3523
"Port St. Lucie, Florida",-8948784.621736914,3158447.71427856,461152.0,653
"Denton, Texas",-10813786.842691103,3924222.4696744666,457177.0,567
"Madison, Wisconsin",-9951194.372432183,5324552.8721184665,447245.0,1263
"Reno, Nevada",-13341451.728439488,4800720.064142187,445020.0,907
"Harrisburg, Pennsylvania",-8558721.125997283,4906014.554102856,442289.0,2343
"Little Rock, Arkansas",-10281201.002888843,4126653.52307741,439815.0,634
"Oakland, California",-13605078.54653612,4549844.443297448,433031,2991
"Durham, North Carolina",-8783452.914010743,4297787.213904287,424700.0,959
"Winston-Salem, North Carolina",-8934624.78250801,4314789.506486713,422269.0,721
"Bonita Springs, Florida",-9104387.005967751,3043227.8742306535,421291.0,600
"Indio, California",-12939176.484559836,3993220.719396375,417059.0,1066
"Palm Coast, Florida",-9044263.348990304,3444454.7566566737,417007.0,364
"Chattanooga, Tennessee",-9489853.00673762,4172813.099869894,415501.0,493
"Spokane, Washington",-13072581.762326496,6051649.751492012,412275.0,1247
"Syracuse, New York",-8476289.043064864,5318199.3174587,404223.0,2195
"Lancaster, Pennsylvania",-8493810.730915725,4872062.02409849,401524.0,3166
"Arlington, Texas",-10811905.543296695,3855524.8894812567,398854,1607
"Stockton, California",-13504267.615673732,4576106.5827204455,397264.0,1941
"Poughkeepsie, New York",-8228848.078929576,5115385.943819643,394760.0,2290
"Augusta, Georgia",-9136079.664996596,3943785.7862006375,390809.0,252
"Boise, Idaho",-12938797.99829114,5403856.095954389,389280.0,1056
"Oxnard, California",-13267223.891978534,4055190.8747816724,387647.0,3040
"Scranton, Pennsylvania",-8422978.138923965,5072174.811176344,384250.0,1169
"Modesto, California",-13469970.080560325,4528328.472674788,383134.0,1933
"Kissimmee, Florida",-9063232.19022148,3287380.867669084,382720.0,1349
"Aurora, Colorado",-11658189.708154399,4823701.21403961,379289,949
"Youngstown, Ohio",-8977505.050361577,5026999.442787949,378732.0,744
"Fayetteville, Arkansas",-10482511.170039399,4310436.582374108,351246.0,625
"Anaheim, California",-13119803.490321003,4007204.092728551,350365,2688
"Pensacola, Florida",-9705790.554978412,3560582.67363463,346921.0,903
"Victorville, California",-13063742.99475751,4099881.2615502207,346789.0,641
"Lancaster, California",-13155214.220342342,4122306.6348435716,343304.0,645
"Greensboro, North Carolina",-8886289.85960557,4313783.770470225,343090.0,887
"Corpus Christi, Texas",-10839791.07574041,3214472.3725202023,342464.0,789
"Fort Wayne, Indiana",-9478153.328255245,5025418.9402504,334122.0,943
"Santa Ana, California",-13122553.081743596,3993488.440072512,332318,4689
"Flint, Michigan",-9316573.08736881,5315549.470885037,332190.0,1103
"San Juan, Puerto Rico",-7354166.311970508,2084855.482390818,331165,3234
"Fayetteville, North Carolina",-8791746.216074843,4175383.8976369062,327435.0,552
"Jackson, Mississippi",-10042398.431239113,3804901.906163473,325350.0,558
"Santa Rosa, California",-13659647.360922983,4642595.236183396,324634.0,1605
"Lansing, Michigan",-9413187.273428293,5268570.855299182,324286.0,1164
"Ann Arbor, Michigan",-9320914.547509748,5202337.762377155,322267.0,1659
"Henderson, Nevada",-12805971.581876604,4302451.5858884305,320189,1165
"Huntsville, Alabama",-9644854.265718175,4123024.229113538,319249.0,361
"Lexington, Kentucky",-9401899.477061855,4585403.1087621115,317110.0,439
"Mobile, Alabama",-9809050.514638253,3591040.371884162,315502.0,522
"Fort Collins, Colorado",-11695849.091889765,4945869.342980548,312666.0,1149
"Asheville, North Carolina",-9189824.71515159,4241668.95120182,312507.0,786
"Santa Clarita, California",-13190958.908836061,4085000.794815139,312446.0,1162
"St. Paul, Minnesota",-10364289.870816942,5613291.675984103,308096,2288
"Antioch, California",-13558246.43675939,4576445.519188997,302419.0,1466
"Lakeland, Florida",-9123133.208217338,3255985.4877747213,302284.0,654
"Trenton, New Jersey",-8322701.541617384,4898488.622616598,290716.0,4238
"Lincoln, Nebraska",-10762234.786504736,4984209.896349316,289490.0,1160
"Springfield, Missouri",-10385173.40728976,4466224.416966695,288090.0,786
"Plano, Texas",-10770016.018911187,3901969.070974267,287677,1549
"Irvine, California",-13110519.444788842,3985539.7932629315,287401,1691
"Davenport, Iowa",-10086124.72722271,5094745.324644619,285362.0,617
"Rockford, Illinois",-9914570.259961195,5199960.977914378,282762.0,873
"Newark, New Jersey",-8256844.9308640845,4971790.011892708,282011,4509
"South Bend, Indiana",-9603487.942939393,5112673.026652979,280498.0,938
"Shreveport, Louisiana",-10441278.430649571,3824584.238527639,280062.0,672
"Round Lake Beach, Illinois",-9805143.200511409,5217921.965276911,279381.0,2073
"Savannah, Georgia",-9036738.151412679,3766999.754262838,276295.0,536
"Myrtle Beach, South Carolina",-8781360.10758383,3989874.7372929906,275579.0,568
"Chula Vista, California",-13025994.55542951,3846043.8614885304,274492,2134
"Eugene, Oregon",-13705355.1438427,5474158.8757015895,273439.0,1510
"Canton, Ohio",-9057810.931019846,4983989.287254354,269418.0,1040
"Lubbock, Texas",-11342098.014046898,3970660.8825391144,267648.0,741
"Reading, Pennsylvania",-8452121.581613645,4915473.863307715,267155.0,3466
"Winter Haven, Florida",-9094991.6409448,3250461.5811549434,267069.0,538
"Salem, Oregon",-13695035.827046163,5609423.268470499,266804.0,1382
"St. Petersburg, Florida",-9202247.970324118,3222913.3872582098,265351,1656
"Lafayette, Louisiana",-10244988.772533793,3530365.9459908237,264357.0,877
"Laredo, Texas",-11074897.840295803,3193976.415289893,262079.0,958
"Jersey City, New Jersey",-8245234.307974346,4970556.234723881,262075,6863
"Concord, North Carolina",-8976425.251300884,4217458.326838465,261801.0,585
"Columbus, Georgia",-9448475.55200976,3830443.8134304113,261445.0,349
"Chandler, Arizona",-12451263.156412918,3932874.742407184,261165,1548
"McKinney, Texas",-10760910.084564297,3922080.3618992,258277.0,1148
"Scottsdale, Arizona",-12452765.969538627,3986877.5645887675,258069,541
"Killeen, Texas",-10879209.30743031,3642545.144961143,258009.0,1073
"Tallahassee, Florida",-9378956.530009361,3562183.86996514,257601.0,747
"Peoria, Illinois",-9975929.56328645,4975830.253124045,256286.0,888
"Wilmington, North Carolina",-8670296.651619382,4057034.8716836246,255616.0,929
"Montgomery, Alabama",-9603153.984467013,3808985.9851027797,254634.0,479
"Gilbert, Arizona",-12439541.214032387,3936537.258558502,254114,1432
"Glendale, Arizona",-12493508.903168965,3972424.493492085,252381,1582
"North Las Vegas, Nevada",-12811771.327346934,4340322.433603635,251974,992
"Anchorage, Alaska",-16598749.08464331,8660531.626710122,247949.0,65
"Chesapeake, Virginia",-8493944.314304678,4394290.91479871,244835,279
"Barnstable Town, Massachusetts",-7832428.240265649,5112002.368733593,242847.0,286
"Norfolk, Virginia",-8489113.04840425,4424411.632163019,242742,1759
"Fremont, California",-13579330.348315634,4512750.404586516,241110,1201
"Kennewick, Washington",-13266299.94020495,5812103.665737392,240735.0,1186
"Garland, Texas",-10756858.055099422,3883364.0526105496,239928,1623
"Irving, Texas",-10794673.286121897,3876523.978918904,239798,1380
"Visalia, California",-13283409.745939875,4345792.762703882,237386.0,1370
"Atlantic City, New Jersey",-8288036.652184358,4776207.201962737,237054.0,1354
"Nashua, New Hampshire",-7958341.716301921,5273859.9492620835,233917.0,1118
"Paradise, Nevada",-12816981.079516059,4311731.256726222,233689,1930
"Hialeah, Florida",-8939467.180357516,2982939.2884816336,233339,4174
"York, Pennsylvania",-8541711.507804072,4860872.001931976,233184.0,3204
"Arlington, Virginia",-8582855.191601265,4704296.952619517,231803,3442
"Evansville, Indiana",-9744251.439047487,4577744.878343708,230427.0,962
"Avondale, Arizona",-12503805.956067342,3946625.1388627375,227289.0,750
"Brownsville, Texas",-10848807.954494666,2998833.237016255,227239.0,533
"Gulfport, Mississippi",-9915260.440804116,3558568.5545868194,220987.0,497
"Appleton, Wisconsin",-9839429.603675736,5508549.049629973,220570.0,1156
"Bremerton, Washington",-13660259.618122345,6031259.237580021,218400.0,561
"Hickory, North Carolina",-9052834.949781386,4265247.371160204,218323.0,536
"Tacoma, Washington",-13631416.738057809,5981844.845598198,217827,1690
"San Bernardino, California",-13057175.144800706,4047844.7810028633,215784,1341
"College Station, Texas",-10719621.685429074,3578995.8273643875,215243.0,890
"Kalamazoo, Michigan",-9527634.841912856,5202247.493856459,215193.0,1192
"Thousand Oaks, California",-13233160.127795793,4054531.4157902137,215029.0,885
"Roanoke, Virginia",-8900883.84484857,4477997.5176260425,214674.0,900
"Fontana, California",-13075576.256628836,4041807.318901937,214547,1923
"Moreno Valley, California",-13047145.258680232,4018655.3048502514,213055,1604
"North Port, Florida",-9150183.844480105,3130682.452970982,209070.0,274
"Fargo, North Dakota",-10778977.237920046,5920098.970775093,208675.0,967
"Green Bay, Wisconsin",-9794957.467103824,5545488.607520451,207557.0,887
"Amarillo, Texas",-11335786.198918922,4190930.1957140244,205603.0,756
"Portland, Maine",-7822587.597279524,5415638.668659266,203969.0,1185
"Santa Barbara, California",-13327191.701668872,4086485.258672011,202401.0,1808
"Gainesville, Florida",-9166692.524964746,3462534.04127421,202335.0,820
"Olympia, Washington",-13680709.00858107,5948883.231919865,200915.0,1119
"Frisco, Texas",-10778120.077840937,3915962.2232418517,200490,1136
"Yonkers, New York",-8222881.354223057,5004468.3638641555,200370,4295
"Norwich, Connecticut",-8024821.7162036635,5093733.793952089,200289.0,533
"Spring Valley, Nevada",-12830896.015865218,4314210.852432566,199722,2318
"Glendale, California",-13163173.56393406,4053239.5255575357,199303,2525
"Huntington Beach, California",-13135978.212333264,3988054.9321057573,199223,2848
"Deltona, Florida",-9040667.72943768,3363560.2111472017,198361.0,960
"Aurora, Illinois",-9828408.974087201,5125648.309796085,197757,1696
"Tempe, Arizona",-12460190.979574539,3946931.7772339783,195805,1891
"Overland Park, Kansas",-10540508.624742694,4705498.193285412,195494,1003
"Grand Prairie, Texas",-10800317.184305117,3853858.2163017006,194543,1039
"Sunrise Manor, Nevada",-12807196.096275331,4325210.57566115,192934,2231
"Waco, Texas",-10818929.80316575,3705665.232770195,192315.0,605
"Salinas, California",-13539978.908320213,4395762.308067611,190972.0,2562
"Waterbury, Connecticut",-8130341.461526609,5095042.853924684,189614.0,1456
"Clarksville, Tennessee",-9722866.9648661,4379269.315361868,188746.0,618
"Cedar Rapids, Iowa",-10205570.540843893,5155962.626673915,188038.0,720
"Sioux Falls, South Dakota",-10768156.983414939,5394483.832950895,187239.0,907
"Huntington, West Virginia",-9176555.43184903,4637635.930961882,186034.0,1073
"Ontario, California",-13091884.562030049,4034080.277462522,185010,1429
"Hagerstown, Maryland",-8651940.067587571,4813779.59763993,184755.0,1272
"Erie, Pennsylvania",-8913718.982137032,5178491.606563155,184484.0,1926
"Vancouver, Washington",-13647402.216935722,5722304.13554751,184463,1461
"Nampa, Idaho",-12975744.937285429,5401366.142802081,184428.0,1167
"Spartanburg, South Carolina",-9119927.206882494,4156232.8285836955,182701.0,730
"Gastonia, North Carolina",-9037506.255899154,4197825.470894845,182581.0,577
"Fort Lauderdale, Florida",-8921856.436914021,3016579.7043378805,182437,2036
"Lorain, Ohio",-9148681.031354396,5077593.446701286,180279.0,1041
"Murfreesboro, Tennessee",-9619328.706479276,4279891.314670494,179951.0,919
"High Point, North Carolina",-8904869.082618967,4299341.781829772,179913.0,777
"Newport News, Virginia",-8518000.456265105,4453766.514315171,179225,1002
"Rancho Cucamonga, California",-13087454.046296477,4045571.9524262324,177603,1709
"Hemet, California",-13024035.332391549,3993153.7902024514,177253.0,1125
"Santa Cruz, California",-13584829.531160822,4436166.127300728,176428.0,1957
"Danbury, Connecticut",-8178754.308072603,5071759.2607648345,176030.0,779
"Peoria, Arizona",-12501056.36464475,3999888.8227305277,175961,386
"Oceanside, California",-13058700.221824573,3925167.2511278996,175742,1644
"Elk Grove, California",-13512427.334348878,4638360.49368991,174775,1605
"Pembroke Pines, Florida",-8943207.51524817,3000666.364662351,173591,2051
"Vallejo, California",-13607227.012708427,4595443.690077062,173256.0,1524
"Garden Grove, California",-13131258.26592363,3999125.4096936905,171644,3690
"Medford, Oregon",-13676011.326069595,5211624.968222012,170876.0,1243
"Cary, North Carolina",-8774102.07678411,4270666.220400554,170282,1119
"Marysville, Washington",-13598354.849292206,6120324.280615496,170009.0,1308
"Corona, California",-13087264.803162128,4010233.392326498,169868,1640
"Ocala, Florida",-9145018.620107297,3398321.012390111,169383.0,496
"Fredericksburg, Virginia",-8625835.646996548,4621779.388747414,168909.0,1072
"Gainesville, Georgia",-9331924.045149203,4067849.15103325,167371.0,506
"Bayamón, Puerto Rico",-7365287.129100756,2081993.0835546583,165383,2366
"Enterprise, Nevada",-12826320.784793613,4302878.221460345,164314,1240
"Manchester, New Hampshire",-7953187.623878191,5309658.538057678,162877.0,1315
"Champaign, Illinois",-9826561.070540035,4882580.528496957,159443.0,1503
"Alexandria, Virginia",-8581185.399239365,4695706.500249259,159428,4121
"Hayward, California",-13589571.741468618,4527681.851261261,159203,1349
"Springfield, Illinois",-9980215.36368199,4832720.2128283335,158509.0,723
"Lakewood, Colorado",-11701548.649818378,4822109.620727649,157935,1416
"Lafayette, Indiana",-9669144.178609267,4924094.411152145,157820.0,942
"Frederick, Maryland",-8617698.192219561,4783972.741605679,156787.0,1172
"Lake Charles, Louisiana",-10376334.639720775,3529438.533300319,156181.0,674
"Odessa, Texas",-11392503.479478093,3747975.448396714,155998.0,1052
"Tuscaloosa, Alabama",-9743427.674815618,3926511.3681568303,155499.0,631
"Warner Robins, Georgia",-9312198.231380636,3841933.8116265167,155140.0,805
"Palmdale, California",-13147466.38378313,4108897.425094273,155079,564
"Hollywood, Florida",-8924249.805966077,3002722.715235346,154817,2192
"Midland, Texas",-11367245.087017098,3766579.583058104,154793.0,758
"Leesburg, Florida",-9117021.768172788,3345858.559477464,154574.0,249
"Port Arthur, Texas",-10455839.02004533,3484976.3703377573,154468.0,272
"Muskegon, Michigan",-9602007.393711843,5346755.691138516,153565.0,998
"Macon, Georgia",-9317151.948720936,3869648.149744025,153159,237
"Kansas City, Kansas",-10546887.23156515,4739363.009411088,152960,473
"Sunnyvale, California",-13583827.655743683,4492711.4157969095,152703,2676
"Pomona, California",-13109272.66649196,4036659.854312153,151691,2548
"Escondido, California",-13032417.690048281,3913196.814228002,151625,1568
"Pasadena, Texas",-10592038.417030903,3459702.6787784263,151227,1339
"New Bedford, Massachusetts",-7897316.371449049,5111629.801259273,149910.0,1840
"Fairfield, California",-13584584.628281076,4616107.067258815,148683.0,1097
"Naperville, Illinois",-9814560.829432521,5123350.255405281,148449,1476
"Bellevue, Washington",-13598065.418616144,6039756.313581559,148164,1709
"Binghamton, New York",-8450184.622473842,5176180.795139035,148145.0,1635
"Elkhart, Indiana",-9569335.123164017,5114893.9842924625,147567.0,734
"Topeka, Kansas",-10652774.33120771,4726628.938214564,147458.0,787
"Joliet, Illinois",-9812801.981477985,5089183.221901806,147344,886
"Beaumont, Texas",-10480184.59268182,3514467.6216820963,146091.0,547
"Paterson, New Jersey",-8255720.604007072,4999768.0630766,145233,6665
"Merced, California",-13411527.347893856,4481803.517832188,145149.0,1390
"Pueblo, Colorado",-11645265.515273299,4617709.181405046,143932.0,789
"Tyler, Texas",-10609437.65344189,3805178.525421436,143796.0,718
"Torrance, California",-13173737.783610342,4006614.4107655357,143592,2701
"Metairie, Louisiana",-10038569.040755823,3503254.203375522,143481,2381
"Yuma, Arizona",-12751514.086980535,3842224.5077977283,142847.0,313
"Surprise, Arizona",-12518143.906481517,3985914.3535491973,141664,506
"Columbia, Missouri",-10277638.779183459,4714197.126288021,141645.0,725
"Athens, Georgia",-9280583.495995345,4022197.5798554933,141532.0,421
"Roseville, California",-13505236.095243633,4688822.223503731,141500,1239
"Thornton, Colorado",-11682290.377911143,4854280.1544983685,141464,1521
"Miramar, Florida",-8942862.424826711,2996269.7228116165,141191,1889
"Pasadena, California",-13151173.322826546,4050266.0451771896,141029,2371
"Mesquite, Texas",-10752227.16428242,3863795.5990051287,140937,1151
"Santa Maria, California",-13407675.693512406,4154834.1492922516,140545.0,1815
"Olathe, Kansas",-10555291.853120042,4704954.75729778,140545,880
"Houma, Louisiana",-10097323.467996513,3449663.399134684,140469.0,874
"Carolina, Puerto Rico",-7344770.946947557,2085054.9269251963,140072,2611
"Carrollton, Texas",-10786847.52591913,3893843.9883753215,139248,1466
"Grand Junction, Colorado",-12085656.55280057,4734227.29997214,139143.0,621
"Charleston, West Virginia",-9087266.068283746,4628760.635021824,138706.0,570
"Orange, California",-13115862.780346919,4002487.4865681897,138669,2086
"Fullerton, California",-13127673.778320083,4013250.084505473,138632,2386
"Greeley, Colorado",-11663009.842105748,4926448.109601283,137810.0,858
"Las Cruces, New Mexico",-11887719.366221048,3806245.545504615,136254.0,519
"Panama City, Florida",-9528992.939700535,3529219.5707588266,136133.0,382
"Harlingen, Texas",-10875647.083724923,3022843.247160989,136037.0,626
"West Valley City, Utah",-12469063.142990762,4966562.214507546,135248,1472
"Hampton, Virginia",-8500690.27544675,4446789.802039612,134510,1009
"Warren, Michigan",-9242523.362093126,5235177.320539695,133943,1505
"Mauldin, South Carolina",-9161649.75203181,4134688.1980037126,133872.0,899
"Bloomington, Illinois",-9904128.491724785,4935312.425809993,133846.0,1100
"Coral Springs, Florida",-8934402.143526424,3032585.0405580592,133759,2258
"Round Rock, Texas",-10872129.387815857,3571265.476240837,133372,1421
"Yakima, Washington",-13419520.087332811,5875779.113877569,133191.0,1300
"Sterling Heights, Michigan",-9242912.980310902,5248396.566787733,132438,1403
"Kent, Washington",-13604677.796369264,6005752.207813701,132319,1513
"Burlington, North Carolina",-8846404.086054338,4311056.3539783815,131043.0,707
"Bellingham, Washington",-13633153.32211418,6233273.61147947,130641.0,1287
"Santa Clara, California",-13577415.65307399,4490035.902965094,130365,2761
"Racine, Wisconsin",-9775354.104775129,5270570.964976373,130142.0,1915
"Greenville, North Carolina",-8613545.97521297,4245118.284550057,130118.0,1012
"Stamford, Connecticut",-8188472.499618855,5027619.897327926,129638,1330
"Elizabeth, New Jersey",-8258926.605341917,4963156.8382905,129216,4049
"Johnson City, Tennessee",-9170533.047397114,4347589.183834355,127571.0,599
"Lynchburg, Virginia",-8815490.663461048,4495051.297019396,126814.0,647
"Simi Valley, California",-13219078.212210445,4064615.9063193775,126589.0,1167
"Fort Smith, Arkansas",-10505164.68641583,4211451.519689054,125354.0,536
"Kenosha, Wisconsin",-9782367.232695105,5249228.110098425,124972.0,1378
"South Lyon, Michigan",-9312164.835533397,5230347.473130312,124694.0,1219
"Boulder, Colorado",-11716632.440820867,4869561.339664357,124345.0,1551
"Pearland, Texas",-10611140.841651026,3446924.440999679,122460,981
"Berkeley, California",-13611702.056238318,4561401.759074093,121363,4473
"Richardson, Texas",-10765630.030973932,3891548.2138862805,121323,1639
"Redding, California",-13621609.49091892,4949092.856080326,121313.0,599
"Arvada, Colorado",-11705366.908352587,4841573.422299366,121272,1207
"St. George, Utah",-12643333.805827633,4449845.035733241,120899.0,449
"Billings, Montana",-12083997.89238775,5746616.519737024,120728.0,948
"Yuba City, California",-13540691.353061289,4741128.115266335,120456.0,1736
"Rochester, Minnesota",-10294581.605682194,5467779.240531871,119942.0,831
"East Los Angeles, California",-13154524.039499424,4033180.2500726385,119827,6212
"Leominster, Massachusetts",-7989589.097367592,5239329.945399307,119690.0,558
"Kingsport, Tennessee",-9188900.763378004,4372742.950313236,119666.0,397
"Duluth, Minnesota",-10256888.826099591,5905522.890580271,119476.0,461
"Lehigh Acres, Florida",-9087989.644973902,3075079.346574583,119205,496
"Rock Hill, South Carolina",-9019594.949830515,4155947.646704494,119105.0,750
"Gilroy, California",-13534835.947845561,4439761.926888248,118993.0,1378
"Cambridge, Massachusetts",-7916875.205981427,5217454.819255849,118927,7182
"Sugar Land, Texas",-10646117.425658273,3451404.3471910846,118488,1130
"Texas City, Texas",-10571544.49877586,3428291.875478993,118169.0,300
"Iowa City, Iowa",-10189106.388155567,5109573.489108788,118041.0,1133
"Saginaw, Michigan",-9345282.384044396,5376104.878743352,117958.0,1087
"Chico, California",-13560406.03488078,4830765.162988227,117668.0,1191
"Dover, Delaware",-8406881.34055526,4744759.749826698,117282.0,622
"Norman, Oklahoma",-10836629.60220188,4195658.310434937,116973.0,269
"Clearwater, Florida",-9213045.960931066,3246313.822745934,116946,1731
"Coeur d'Alene, Idaho",-13001392.947964195,6057768.039228353,116834.0,1260
"Ponce, Puerto Rico",-7416082.212749727,2038953.17142724,116796,1469
"Seaside, California",-13560840.180894874,4386604.098893064,116720.0,1410
"Independence, Missouri",-10503005.08829444,4734155.590650109,116672,577
"West Jordan, Utah",-12467872.024439275,4953871.465720271,116480,1391
"Abilene, Texas",-11102827.900535837,3823093.411645117,116412.0,446
"Bloomington, Indiana",-9631996.864531552,4745147.392683497,115884.0,1424
"El Monte, California",-13138939.310788365,4038729.3122452144,115487,4663
